run_id,sample_id,forward,reverse
AN00009242,202304900,/n/groups/kwon/joseph/projects/download/AN00009242/202304900/202304900_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202304900/202304900_2.fastq.gz
AN00009242,202304906,/n/groups/kwon/joseph/projects/download/AN00009242/202304906/202304906_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202304906/202304906_2.fastq.gz
AN00009242,202304915,/n/groups/kwon/joseph/projects/download/AN00009242/202304915/202304915_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202304915/202304915_2.fastq.gz
AN00009242,202304942,/n/groups/kwon/joseph/projects/download/AN00009242/202304942/202304942_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202304942/202304942_2.fastq.gz
AN00009242,202304956,/n/groups/kwon/joseph/projects/download/AN00009242/202304956/202304956_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202304956/202304956_2.fastq.gz
AN00009242,202305076,/n/groups/kwon/joseph/projects/download/AN00009242/202305076/202305076_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305076/202305076_2.fastq.gz
AN00009242,202305093,/n/groups/kwon/joseph/projects/download/AN00009242/202305093/202305093_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305093/202305093_2.fastq.gz
AN00009242,202305251,/n/groups/kwon/joseph/projects/download/AN00009242/202305251/202305251_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305251/202305251_2.fastq.gz
AN00009242,202305274,/n/groups/kwon/joseph/projects/download/AN00009242/202305274/202305274_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305274/202305274_2.fastq.gz
AN00009242,202305322,/n/groups/kwon/joseph/projects/download/AN00009242/202305322/202305322_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305322/202305322_2.fastq.gz
AN00009242,202305327,/n/groups/kwon/joseph/projects/download/AN00009242/202305327/202305327_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305327/202305327_2.fastq.gz
AN00009242,202305331,/n/groups/kwon/joseph/projects/download/AN00009242/202305331/202305331_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305331/202305331_2.fastq.gz
AN00009242,202305335,/n/groups/kwon/joseph/projects/download/AN00009242/202305335/202305335_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305335/202305335_2.fastq.gz
AN00009242,202305340,/n/groups/kwon/joseph/projects/download/AN00009242/202305340/202305340_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305340/202305340_2.fastq.gz
AN00009242,202305347,/n/groups/kwon/joseph/projects/download/AN00009242/202305347/202305347_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305347/202305347_2.fastq.gz
AN00009242,202305356,/n/groups/kwon/joseph/projects/download/AN00009242/202305356/202305356_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305356/202305356_2.fastq.gz
AN00009242,202305378,/n/groups/kwon/joseph/projects/download/AN00009242/202305378/202305378_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305378/202305378_2.fastq.gz
AN00009242,202305406,/n/groups/kwon/joseph/projects/download/AN00009242/202305406/202305406_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305406/202305406_2.fastq.gz
AN00009242,202305413,/n/groups/kwon/joseph/projects/download/AN00009242/202305413/202305413_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305413/202305413_2.fastq.gz
AN00009242,202305428,/n/groups/kwon/joseph/projects/download/AN00009242/202305428/202305428_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305428/202305428_2.fastq.gz
AN00009242,202305442,/n/groups/kwon/joseph/projects/download/AN00009242/202305442/202305442_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305442/202305442_2.fastq.gz
AN00009242,202305445,/n/groups/kwon/joseph/projects/download/AN00009242/202305445/202305445_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305445/202305445_2.fastq.gz
AN00009242,202305477,/n/groups/kwon/joseph/projects/download/AN00009242/202305477/202305477_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305477/202305477_2.fastq.gz
AN00009242,202305496,/n/groups/kwon/joseph/projects/download/AN00009242/202305496/202305496_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305496/202305496_2.fastq.gz
AN00009242,202305893,/n/groups/kwon/joseph/projects/download/AN00009242/202305893/202305893_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305893/202305893_2.fastq.gz
AN00009242,202305896,/n/groups/kwon/joseph/projects/download/AN00009242/202305896/202305896_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305896/202305896_2.fastq.gz
AN00009242,202305919,/n/groups/kwon/joseph/projects/download/AN00009242/202305919/202305919_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305919/202305919_2.fastq.gz
AN00009242,202305935,/n/groups/kwon/joseph/projects/download/AN00009242/202305935/202305935_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305935/202305935_2.fastq.gz
AN00009242,202305939,/n/groups/kwon/joseph/projects/download/AN00009242/202305939/202305939_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202305939/202305939_2.fastq.gz
AN00009242,202306094,/n/groups/kwon/joseph/projects/download/AN00009242/202306094/202306094_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306094/202306094_2.fastq.gz
AN00009242,202306131,/n/groups/kwon/joseph/projects/download/AN00009242/202306131/202306131_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306131/202306131_2.fastq.gz
AN00009242,202306143,/n/groups/kwon/joseph/projects/download/AN00009242/202306143/202306143_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306143/202306143_2.fastq.gz
AN00009242,202306228,/n/groups/kwon/joseph/projects/download/AN00009242/202306228/202306228_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306228/202306228_2.fastq.gz
AN00009242,202306253,/n/groups/kwon/joseph/projects/download/AN00009242/202306253/202306253_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306253/202306253_2.fastq.gz
AN00009242,202306286,/n/groups/kwon/joseph/projects/download/AN00009242/202306286/202306286_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306286/202306286_2.fastq.gz
AN00009242,202306321,/n/groups/kwon/joseph/projects/download/AN00009242/202306321/202306321_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306321/202306321_2.fastq.gz
AN00009242,202306322,/n/groups/kwon/joseph/projects/download/AN00009242/202306322/202306322_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306322/202306322_2.fastq.gz
AN00009242,202306395,/n/groups/kwon/joseph/projects/download/AN00009242/202306395/202306395_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306395/202306395_2.fastq.gz
AN00009242,202306504,/n/groups/kwon/joseph/projects/download/AN00009242/202306504/202306504_1.fastq.gz,/n/groups/kwon/joseph/projects/download/AN00009242/202306504/202306504_2.fastq.gz
