Isolate_ID,Cryovial Barcode Number,Source Swab Sample,Primary_Agar,Broth_Media
LV2B000168,N2202I225028,202304945,CBA,NYCIII
LV2B000170,N2202I249324,202304945,CBA,NYCIII
LV2B000171,N2202I220712,202305118,CBA,Wilkins-Chalgren
LV2B000172,N2202I221648,202306335,CBA,NYCIII
LV2B000173,N2202I221280,202306335,CBA,NYCIII
LV2B000174,N2202I224511,202306335,CBA,NYCIII
LV2B000175,N2202I223356,202306335,CBA,Wilkins-Chalgren
LV2B000176,N2202I220609,202306335,CBA,NYCIII
LV2B000177,N2202I220158,202306335,CBA,NYCIII
LV2B000178,N2202I220263,202305118,CBA,NYCIII
LV2B000179,N2202I224726,202305118,CBA,NYCIII
LV2B000180,N2202I222156,202305118,CBA,Wilkins-Chalgren
LV2B000181,N2202I220726,202305118,CBA,NYCIII
LV2B000182,N2202I220371,202305118,CBA,Wilkins-Chalgren
LV2B000183,N2202I224536,202305118,CBA,Wilkins-Chalgren
LV2B000184,N2202I224769,202306335,CBA,NYCIII
LV2B000185,N2202I222157,202306335,CBA,Wilkins-Chalgren
LV2B000186,N2202I265414,202306335,CBA,NYCIII
LV2B000187,N2202I222214,202306335,CBA,NYCIII
LV2B000188,N2202I221127,202309954,CBA,Wilkins-Chalgren
LV2B000189,N2202I224333,202309954,CBA,NYCIII
LV2B000190,N2202I222532,202309954,CBA,NYCIII
LV2B000191,N2202I222665,202309954,CBA,NYCIII
LV2B000192,N2202I267599,202309954,CBA,NYCIII
LV2B000193,N2202I224296,202309954,CBA,NYCIII
LV2B000195,N2202I221790,202309954,CBA,NYCIII
LV2B000196,N2202I258798,202306945,LKV,Wilkins-Chalgren
LV2B000197,N2202I220179,202307029,LKV,Wilkins-Chalgren
LV2B000198,N2202I219727,202307066,LKV,Wilkins-Chalgren
LV2B000199,N2202I220060,202307199,LKV,Wilkins-Chalgren
LV2B000200,N2202I215153,202307199,LKV,NYCIII
LV2B000201,N2202I223474,202307199,LKV,NYCIII
LV2B000203,N2202I223577,202307199,LKV,NYCIII
