sample	strain	community
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	62	2.554171e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	63	6.29876e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	64	4.4789405e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	65	2.812488e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	69	0.99330795
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	71	5.305033e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	72	1.3144056e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	73	4.5308656e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	76	3.687126e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	77	1.7485719e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	79	4.9313847e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	80	9.762078e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305647__gtpro__crisp.tsv.temp	82	4.5728646e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	-1	5.7142257e-05
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	0	3.5522162e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	1	4.7414883e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	2	6.894925e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	4	1.7313725e-05
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	5	3.7478685e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	6	8.011122e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	8	1.6917968e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	10	0.0024377005
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	11	0.010192827
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	14	1.1069155e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	15	1.7047679e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	16	0.98479784
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	17	1.5414561e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	19	9.4153114e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	22	1.4280117e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	23	2.4411565e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	25	7.0841986e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	27	1.558026e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	29	6.0239677e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	33	1.7401408e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	34	1.562243e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	39	7.915583e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	43	4.1899168e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	45	2.0599284e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	46	1.3084962e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	47	4.0134873e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	49	7.392513e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	51	8.452364e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	52	2.1118228e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	53	1.2399678e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	54	1.0056964e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	55	5.0790703e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	58	1.5772279e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	59	1.0205512e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	60	9.475327e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	62	9.638243e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	63	4.1999715e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	64	1.7042213e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	65	1.3624436e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	69	1.7386501e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	71	3.107555e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	72	1.2232416e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	73	1.1303517e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	76	0.002432833
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	77	1.134277e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	79	3.0672075e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	80	7.0426785e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305650__gtpro__crisp.tsv.temp	82	1.7187434e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	-1	9.723594e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	0	6.5630235e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	1	7.625044e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	2	1.2705127e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	4	3.129634e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	5	1.2633204e-06
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	6	2.54286e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	8	3.006021e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	10	0.05626368
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	11	1.8056498e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	14	3.9124032e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	15	3.2849962e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	16	1.9543091e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	17	1.9468594e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	19	5.2186164e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	22	0.25343958
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	23	3.5605063e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	25	1.345813e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	27	2.8688783e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	29	9.384871e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	33	3.0618065e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	34	2.5332952e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	39	2.5502368e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	43	9.1166385e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	45	1.2702623e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	46	4.7682303e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	47	7.8085975e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	49	1.9225162e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	51	2.203232e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	52	2.7927953e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	53	2.4344865e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	54	2.1409431e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	55	9.176969e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	58	2.9184952e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	59	1.6314809e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	60	2.3149379e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	62	2.583436e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	63	8.152784e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	64	2.929765e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	65	2.4272012e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	69	2.2938966e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	71	6.2092155e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	72	1.601491e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	73	0.6902707
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	76	3.1371337e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	77	2.6432386e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	79	6.06824e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	80	1.1985856e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305654__gtpro__crisp.tsv.temp	82	3.197812e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	-1	0.00014346004
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	0	3.517269e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	1	4.3406388e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	2	6.054925e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	4	1.6005019e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	5	0.9998558
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	6	8.633138e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	8	1.6955555e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	10	1.1069993e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	11	6.8991084e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	14	1.1877981e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	15	1.2575375e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	16	5.819453e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	17	8.4232195e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	19	1.0841148e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	22	9.667063e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	23	1.2321365e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	25	5.7025935e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	27	1.7087027e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	29	4.149553e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	33	1.3849697e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	34	1.19901165e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	39	9.084972e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	43	3.532804e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	45	4.687732e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	46	1.3370759e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	47	3.2579184e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	49	1.0031568e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	51	1.09672635e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	52	1.1378976e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	53	8.458902e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	54	9.388954e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	55	4.2857886e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	58	1.2026083e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	59	9.374118e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	60	1.2414985e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	62	1.1542895e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	63	2.700213e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	64	1.2987198e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	65	1.492537e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	69	1.1891451e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	71	2.3633655e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	72	5.166478e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	73	1.1985692e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	76	1.2201828e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	77	8.950563e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	79	2.1719977e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	80	4.366356e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305675__gtpro__crisp.tsv.temp	82	1.496989e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	-1	2.3722569e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	0	1.4260396e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	1	1.6726399e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	2	2.7772995e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	4	6.9134933e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	5	4.3766066e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	6	8.188084e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	8	7.0146317e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	10	1.3063443e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	11	6.319703e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	14	1.211492e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	15	7.407643e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	16	6.4661493e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	17	5.4062294e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	19	9.678631e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	22	8.958118e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	23	7.3411727e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	25	6.0844546e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	27	6.832187e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	29	4.008539e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	33	6.927847e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	34	6.3515526e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	39	1.53689e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	43	3.5547437e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	45	4.5211515e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	46	1.4227504e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	47	3.8669332e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	49	1.0905837e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	51	7.748442e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	52	7.963363e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	53	6.036909e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	54	8.893057e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	55	3.7577513e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	58	5.8725286e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	59	1.154776e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	60	5.8523057e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	62	1.4516572e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	63	2.8353747e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	64	5.896019e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	65	7.4656137e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	69	0.99999994
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	71	2.8365255e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	72	5.405735e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	73	1.1278662e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	76	6.938448e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	77	9.448562e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	79	2.4101868e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	80	4.364849e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305678__gtpro__crisp.tsv.temp	82	6.9505374e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	-1	8.849087e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	0	6.434594e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	1	7.785432e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	2	1.2559853e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	4	3.1162067e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	5	1.6311132e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	6	3.6070278e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	8	3.1665275e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	10	6.9646378e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	11	2.8104785e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	14	5.839756e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	15	2.4469708e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	16	6.232216e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	17	2.1485322e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	19	5.0468723e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	22	4.1481596e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	23	2.3807365e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	25	3.7389642e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	27	2.320407e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	29	1.6972899e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	33	2.3423292e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202305684__gtpro__crisp.tsv.temp	34	2.2148576e-09
