sample	strain	community
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	79	1.512677e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	80	2.8542546e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302533__gtpro__crisp.tsv.temp	82	9.912469e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	-1	1.05452145e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	0	6.6103684e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	1	7.6457707e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	2	1.3005342e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	4	3.2291394e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	5	1.6197524e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	6	3.677463e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	8	3.2858308e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	10	5.065203e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	11	5.8633914e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	14	5.026652e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	15	2.932261e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	16	1.0472815e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	17	3.0889796e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	19	3.877203e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	22	4.335243e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	23	2.936806e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	25	3.1698166e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	27	2.8098238e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	29	2.4142655e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	33	2.827808e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	34	2.6735894e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	39	3.705053e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	43	2.0929442e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	45	0.9999999
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	46	5.151022e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	47	1.9112896e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	49	3.08207e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	51	3.271055e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	52	3.1222752e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	53	2.6011118e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	54	3.0851874e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	55	2.158422e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	58	2.7746316e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	59	2.7646055e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	60	3.9051182e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	62	3.5380213e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	63	1.9346087e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	64	2.8145813e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	65	2.920651e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	69	3.9153433e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	71	1.826599e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	72	4.55616e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	73	4.0450426e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	76	2.9352212e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	77	3.9367604e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	79	1.5785631e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	80	3.5686573e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302547__gtpro__crisp.tsv.temp	82	3.2638373e-10
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	-1	2.2215198e-07
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	0	1.3242745e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	1	1.5617788e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	2	2.5704336e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	4	6.404384e-08
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	5	0.99999946
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	6	7.185566e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	8	6.434495e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	10	8.878017e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	11	5.188642e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	14	9.5558335e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	15	6.8274026e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	16	5.407721e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	17	5.0329296e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	19	7.701719e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	22	7.0442536e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	23	6.2151853e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	25	4.91622e-09
lactinv_gtpro_tsvs/temp_06_combine_filtered_reads_202302553__gtpro__crisp.tsv.temp	27	6.38317e-09
